X9.7207 Y61.9214 Z41.2713
X9.7043 Y61.9202 Z41.3061
X9.5919 Y61.9123 Z41.5462
X9.2984 Y61.8940 Z42.1771
X8.7607 Y61.8694 Z43.3471
X7.9480 Y61.8552 Z45.1532
X6.8666 Y61.8824 Z47.6303
X5.5605 Y61.9939 Z50.7456
X4.1047 Y62.2364 Z54.4004
X2.5929 Y62.6490 Z58.4397
X1.1223 Y63.2519 Z62.6704
X-0.2220 Y64.0367 Z66.8835
X-1.3788 Y64.9635 Z70.8765
X-2.3171 Y65.9631 Z74.4716
X-3.0341 Y66.9475 Z77.5303
X-3.5490 Y67.8264 Z79.9644
X-3.8931 Y68.5262 Z81.7435
X-4.1017 Y69.0083 Z82.8991
X-4.2095 Y69.2783 Z83.5235
X-4.2496 Y69.3829 Z83.7614
X-4.2554 Y69.3982 Z83.7960
