X42.0036 Y51.9994 Z68.0071
X42.0078 Y51.9745 Z67.9725
X42.0376 Y51.8040 Z67.7346
X42.1195 Y51.3596 Z67.1142
X42.2848 Y50.5493 Z65.9814
X42.5734 Y49.3318 Z64.2752
X43.0335 Y47.7221 Z62.0135
X43.7138 Y45.7866 Z59.2867
X44.6508 Y43.6291 Z56.2406
X45.8543 Y41.3728 Z53.0516
X47.2967 Y39.1427 Z49.9005
X48.9107 Y37.0515 Z46.9490
X50.5969 Y35.1881 Z44.3227
X52.2389 Y33.6112 Z42.1021
X53.7233 Y32.3479 Z40.3224
X54.9586 Y31.3966 Z38.9798
X55.8902 Y30.7330 Z38.0405
X56.5076 Y30.3166 Z37.4496
X56.8452 Y30.0967 Z37.1368
X56.9745 Y30.0138 Z37.0187
X56.9933 Y30.0018 Z37.0016
