X55.0004 Y12.9917 Z44.0030
X54.9813 Y13.0230 Z44.0000
X54.8498 Y13.2383 Z43.9798
X54.5077 Y13.8040 Z43.9298
X53.8852 Y14.8528 Z43.8487
X52.9551 Y16.4713 Z43.7528
X51.7398 Y18.6913 Z43.6792
X50.3093 Y21.4859 Z43.6816
X48.7698 Y24.7718 Z43.8211
X47.2430 Y28.4181 Z44.1507
X45.8424 Y32.2598 Z44.7009
X44.6525 Y36.1149 Z45.4673
X43.7169 Y39.8008 Z46.4055
X43.0372 Y43.1505 Z47.4365
X42.5819 Y46.0264 Z48.4595
X42.3011 Y48.3335 Z49.3737
X42.1420 Y50.0309 Z50.0999
X42.0594 Y51.1388 Z50.5985
X42.0217 Y51.7392 Z50.8769
X42.0086 Y51.9683 Z50.9847
X42.0067 Y52.0016 Z51.0004
