X55.0004 Y12.9917 Z44.0030
X54.9106 Y12.9225 Z43.9229
X54.2917 Y12.4510 Z43.3730
X52.6648 Y11.2537 Z41.9375
X49.6452 Y9.2019 Z39.3138
X44.9886 Y6.5079 Z35.3724
X38.6599 Y3.8714 Z30.2221
X30.9749 Y2.5289 Z24.2986
X22.8418 Y3.9305 Z18.4896
X15.8965 Y8.7762 Z14.2122
X11.9697 Y16.1479 Z13.0739
X11.9289 Y24.1841 Z15.8353
X15.2225 Y31.5113 Z21.6510
X20.5312 Y37.6353 Z28.7720
X26.4953 Y42.5284 Z35.6886
X32.0461 Y46.2721 Z41.5188
X36.4985 Y48.9513 Z45.8890
X39.5533 Y50.6732 Z48.7598
X41.2539 Y51.5987 Z50.3187
X41.9109 Y51.9505 Z50.9139
X42.0067 Y52.0016 Z51.0004
