X42.6291 Y36.8862 Z4.9414
X42.6287 Y36.8855 Z4.9396
X42.3719 Y36.5461 Z4.5090
X41.6092 Y35.5416 Z3.2781
X40.0801 Y33.5445 Z1.0127
X37.4882 Y30.2154 Z-2.2785
X33.4966 Y25.2543 Z-6.1998
X27.7648 Y18.6019 Z-9.7731
X20.0689 Y10.8991 Z-11.2285
X10.6097 Y4.0036 Z-8.2021
X0.6362 Y0.3641 Z0.4784
X-7.1078 Y0.8669 Z12.5308
X-9.8951 Y4.2656 Z24.1520
X-7.8082 Y8.8091 Z33.3326
X-3.2417 Y13.2769 Z39.8622
X1.5841 Y17.0250 Z44.1997
X5.4956 Y19.7991 Z46.9001
X8.1153 Y21.5871 Z48.4413
X9.5143 Y22.5268 Z49.1934
X9.9997 Y22.8510 Z49.4439
X10.0015 Y22.8520 Z49.4441
