X27.6487 Y29.6047 Z6.4582
X27.6354 Y29.5550 Z6.5411
X27.5434 Y29.2191 Z7.1133
X27.2975 Y28.3879 Z8.6254
X26.8261 Y27.0497 Z11.4531
X26.0618 Y25.5212 Z15.8357
X24.9462 Y24.4890 Z21.7690
X23.4346 Y24.8251 Z28.8909
X21.5054 Y27.1777 Z36.4638
X19.2017 Y31.6157 Z43.5270
X16.7204 Y37.6023 Z49.1692
X14.4481 Y44.2557 Z52.7839
X12.8065 Y50.6832 Z54.2012
X12.0040 Y56.2308 Z53.6711
X11.9430 Y60.5808 Z51.7564
X12.3325 Y63.7100 Z49.1870
X12.8608 Y65.7766 Z46.6810
X13.3095 Y67.0093 Z44.7566
X13.5849 Y67.6374 Z43.6178
X13.6957 Y67.8695 Z43.1654
X13.7121 Y67.9029 Z43.0988
