X27.6487 Y29.6047 Z6.4582
X27.6265 Y29.6357 Z6.4712
X27.4742 Y29.8488 Z6.5619
X27.0781 Y30.4078 Z6.8054
X26.3588 Y31.4405 Z7.2774
X25.2871 Y33.0255 Z8.0587
X23.8936 Y35.1856 Z9.2362
X22.2658 Y37.8875 Z10.8968
X20.5339 Y41.0494 Z13.1102
X18.8440 Y44.5515 Z15.9058
X17.3285 Y48.2484 Z19.2479
X16.0802 Y51.9801 Z23.0201
X15.1393 Y55.5816 Z27.0251
X14.4944 Y58.8938 Z31.0058
X14.0966 Y61.7749 Z34.6838
X13.8788 Y64.1160 Z37.8090
X13.7747 Y65.8578 Z40.2077
X13.7319 Y67.0043 Z41.8190
X13.7169 Y67.6291 Z42.7073
X13.7127 Y67.8682 Z43.0490
X13.7121 Y67.9029 Z43.0988
