X13.6997 Y76.3009 Z15.4170
X13.7101 Y76.3013 Z15.3954
X13.7804 Y76.2968 Z15.2443
X13.9501 Y76.2234 Z14.8328
X14.2073 Y75.8540 Z14.0236
X14.4663 Y74.7016 Z12.7158
X14.6007 Y72.0298 Z11.0171
X14.5912 Y67.0532 Z9.5266
X14.7546 Y59.3058 Z9.3760
X15.8268 Y49.0328 Z11.6408
X18.6136 Y37.4316 Z16.4885
X23.2649 Y26.4567 Z22.9743
X28.8506 Y17.8885 Z29.6417
X33.8943 Y12.3316 Z35.2668
X37.3767 Y9.2766 Z39.2626
X39.1800 Y7.8527 Z41.6796
X39.8018 Y7.3213 Z42.9360
X39.8563 Y7.1908 Z43.5034
X39.7671 Y7.1881 Z43.7264
X39.7109 Y7.1995 Z43.7958
X39.7017 Y7.2017 Z43.8052
