X13.6997 Y76.3009 Z15.4170
X13.6829 Y76.2329 Z15.3980
X13.5693 Y75.7649 Z15.2712
X13.2833 Y74.5405 Z14.9722
X12.8011 Y72.2882 Z14.5402
X12.1783 Y68.8528 Z14.1533
X11.5628 Y64.2091 Z14.0960
X11.1840 Y58.4590 Z14.6654
X11.3183 Y51.8219 Z16.0662
X12.2342 Y44.6227 Z18.3475
X14.1210 Y37.2726 Z21.3994
X17.0152 Y30.2246 Z24.9927
X20.7521 Y23.8983 Z28.8355
X24.9753 Y18.5946 Z32.6229
X29.2149 Y14.4442 Z36.0761
X33.0076 Y11.4163 Z38.9731
X36.0082 Y9.3720 Z41.1747
X38.0579 Y8.1247 Z42.6436
X39.1975 Y7.4779 Z43.4503
X39.6375 Y7.2365 Z43.7601
X39.7017 Y7.2017 Z43.8052
