X18.6772 Y70.6159 Z6.1627
X18.6454 Y70.6060 Z6.1584
X18.4248 Y70.5320 Z6.1349
X17.8317 Y70.2915 Z6.1269
X16.6840 Y69.6707 Z6.3214
X14.8138 Y68.2796 Z7.1684
X12.1468 Y65.5781 Z9.4107
X8.8974 Y61.0749 Z13.8702
X5.8279 Y54.7143 Z20.9030
X4.3332 Y47.2641 Z29.9509
X5.9832 Y40.2571 Z39.8160
X11.4523 Y35.1760 Z49.2858
X19.6768 Y32.5174 Z57.4317
X28.3905 Y31.7520 Z63.6660
X35.6094 Y31.9987 Z67.8084
X40.5437 Y32.5734 Z70.1170
X43.4357 Y33.1193 Z71.1499
X44.9282 Y33.5081 Z71.4968
X45.5994 Y33.7259 Z71.5737
X45.8297 Y33.8100 Z71.5822
X45.8620 Y33.8222 Z71.5825
