X23.3116 Y54.7036 Z44.4058
X23.2821 Y54.6528 Z44.3223
X23.0829 Y54.3053 Z43.7485
X22.5930 Y53.4097 Z42.2442
X21.8157 Y51.8186 Z39.4742
X20.9600 Y49.5541 Z35.2775
X20.4781 Y46.8669 Z29.7764
X20.9822 Y44.2659 Z23.5253
X22.9802 Y42.4669 Z17.6090
X26.5262 Y42.1934 Z13.4436
X31.1117 Y43.8384 Z12.1534
X35.9729 Y47.2154 Z13.9748
X40.5024 Y51.6695 Z18.2585
X44.3915 Y56.4320 Z23.9158
X47.5386 Y60.8795 Z29.8437
X49.9360 Y64.6059 Z35.1674
X51.6253 Y67.4076 Z39.3419
X52.6910 Y69.2545 Z42.1624
X53.2553 Y70.2594 Z43.7178
X53.4680 Y70.6434 Z44.3157
X53.4988 Y70.6993 Z44.4028
