X23.3116 Y54.7036 Z44.4058
X23.3356 Y54.7118 Z44.4009
X23.5005 Y54.7680 Z44.3675
X23.9333 Y54.9174 Z44.2816
X24.7350 Y55.2000 Z44.1294
X25.9701 Y55.6509 Z43.9121
X27.6616 Y56.2989 Z43.6486
X29.7888 Y57.1644 Z43.3732
X32.2908 Y58.2549 Z43.1294
X35.0731 Y59.5605 Z42.9594
X38.0164 Y61.0488 Z42.8948
X40.9871 Y62.6632 Z42.9479
X43.8477 Y64.3246 Z43.1089
X46.4673 Y65.9378 Z43.3485
X48.7335 Y67.4039 Z43.6245
X50.5639 Y68.6357 Z43.8925
X51.9181 Y69.5744 Z44.1159
X52.8056 Y70.2021 Z44.2735
X53.2877 Y70.5473 Z44.3629
X53.4720 Y70.6799 Z44.3977
X53.4988 Y70.6993 Z44.4028
