X39.9937 Y69.9991 Z43.9956
X39.9813 Y69.9562 Z43.9809
X39.8959 Y69.6617 Z43.8803
X39.6762 Y68.8912 Z43.6240
X39.2864 Y67.4749 Z43.1780
X38.7280 Y65.3173 Z42.5605
X38.0454 Y62.4067 Z41.8442
X37.3192 Y58.8103 Z41.1398
X36.6510 Y54.6615 Z40.5679
X36.1424 Y50.1425 Z40.2286
X35.8730 Y45.4668 Z40.1776
X35.8820 Y40.8602 Z40.4166
X36.1578 Y36.5401 Z40.8954
X36.6397 Y32.6946 Z41.5269
X37.2317 Y29.4632 Z42.2075
X37.8263 Y26.9240 Z42.8399
X38.3318 Y25.0893 Z43.3515
X38.6926 Y23.9083 Z43.7055
X38.8983 Y23.2740 Z43.9038
X38.9787 Y23.0331 Z43.9807
X38.9905 Y22.9981 Z43.9919
