X39.9937 Y69.9991 Z43.9956
X39.9495 Y69.9749 Z43.9592
X39.6440 Y69.8052 Z43.7078
X38.8354 Y69.3288 Z43.0394
X37.3169 Y68.3327 Z41.7760
X34.9445 Y66.5241 Z39.7929
X31.6964 Y63.5557 Z37.0961
X27.7666 Y59.1250 Z33.9479
X23.6588 Y53.1276 Z30.9583
X20.2006 Y45.8277 Z28.9762
X18.3687 Y37.9785 Z28.6853
X18.8566 Y30.7442 Z30.1526
X21.5781 Y25.2644 Z32.7965
X25.6261 Y22.0699 Z35.8081
X29.8470 Y20.8969 Z38.5626
X33.4310 Y21.0164 Z40.7480
X36.0542 Y21.6757 Z42.2942
X37.7243 Y22.3492 Z43.2631
X38.6090 Y22.7896 Z43.7728
X38.9422 Y22.9711 Z43.9642
X38.9905 Y22.9981 Z43.9919
