X55.6080 Y65.3021 Z30.1035
X55.5932 Y65.2697 Z30.0980
X55.4919 Y65.0471 Z30.0605
X55.2282 Y64.4639 Z29.9642
X54.7481 Y63.3888 Z29.7947
X54.0296 Y61.7441 Z29.5558
X53.0855 Y59.5140 Z29.2713
X51.9610 Y56.7431 Z28.9817
X50.7243 Y53.5293 Z28.7348
X49.4535 Y50.0109 Z28.5745
X48.2246 Y46.3523 Z28.5295
X47.1012 Y42.7288 Z28.6072
X46.1280 Y39.3104 Z28.7916
X45.3284 Y36.2468 Z29.0485
X44.7061 Y33.6535 Z29.3336
X44.2499 Y31.6007 Z29.6034
X43.9386 Y30.1078 Z29.8242
X43.7466 Y29.1420 Z29.9780
X43.6462 Y28.6216 Z30.0646
X43.6086 Y28.4236 Z30.0982
X43.6031 Y28.3948 Z30.1031
