X55.6080 Y65.3021 Z30.1035
X55.5330 Y65.2613 Z30.0008
X55.0183 Y64.9813 Z29.2938
X53.6820 Y64.2527 Z27.4385
X51.2651 Y62.9272 Z24.0118
X47.6930 Y60.9363 Z18.7792
X43.1097 Y58.2757 Z11.7915
X37.8726 Y54.9386 Z3.5370
X32.5093 Y50.8270 Z-4.8392
X27.6760 Y45.7611 Z-11.3803
X24.1367 Y39.7483 Z-13.7437
X22.6569 Y33.4332 Z-10.7294
X23.6499 Y28.1417 Z-3.5920
X26.7876 Y25.0356 Z5.0580
X31.0886 Y24.2277 Z13.1790
X35.4464 Y24.9367 Z19.7909
X39.0650 Y26.2026 Z24.6101
X41.5780 Y27.3448 Z27.7140
X42.9815 Y28.0612 Z29.3793
X43.5240 Y28.3518 Z30.0114
X43.6031 Y28.3948 Z30.1031
