X55.5017 Y17.2081 Z60.9059
X55.4674 Y17.1384 Z60.8542
X55.2247 Y16.6609 Z60.4936
X54.5318 Y15.4247 Z59.5102
X53.0402 Y13.2115 Z57.5516
X50.2417 Y10.0422 Z54.2011
X45.5286 Y6.3369 Z49.0137
X38.4518 Y3.1505 Z41.6497
X29.1975 Y2.4032 Z32.0915
X19.1435 Y6.5875 Z20.9242
X10.7945 Y16.8565 Z9.6806
X6.2155 Y30.7750 Z1.0298
X5.4114 Y44.2607 Z-2.1614
X6.9126 Y54.9839 Z0.7350
X9.2270 Y62.5564 Z7.2993
X11.4434 Y67.4604 Z14.4009
X13.1667 Y70.3962 Z20.1425
X14.3066 Y72.0060 Z23.9529
X14.9249 Y72.7780 Z26.0046
X15.1605 Y73.0539 Z26.7819
X15.1948 Y73.0932 Z26.8946
