X59.3936 Y9.3000 Z45.4954
X59.2964 Y9.1993 Z45.3849
X58.6283 Y8.5096 Z44.6264
X56.8781 Y6.7274 Z42.6493
X53.6464 Y3.5467 Z39.0415
X48.6689 Y-0.9937 Z33.6199
X41.8024 Y-6.3032 Z26.4888
X33.0139 Y-10.9426 Z18.1272
X22.5177 Y-12.4647 Z9.5929
X11.2830 Y-8.5433 Z2.8757
X1.6533 Y0.1473 Z0.8712
X-3.5138 Y10.1679 Z5.4887
X-3.2709 Y19.0750 Z15.0783
X0.9942 Y26.3148 Z26.0457
X7.1722 Y32.0605 Z35.9536
X13.4979 Y36.5020 Z43.8691
X18.8128 Y39.7347 Z49.6143
X22.5519 Y41.8460 Z53.3269
X24.6617 Y42.9938 Z55.3284
X25.4816 Y43.4327 Z56.0905
X25.6015 Y43.4966 Z56.2013
