X59.3936 Y9.3000 Z45.4954
X59.3583 Y9.3234 Z45.4920
X59.1156 Y9.4850 Z45.4691
X58.4801 Y9.9114 Z45.4135
X57.3099 Y10.7092 Z45.3271
X55.5255 Y11.9582 Z45.2363
X53.1214 Y13.7054 Z45.1949
X50.1702 Y15.9577 Z45.2787
X46.8159 Y18.6767 Z45.5706
X43.2551 Y21.7768 Z46.1400
X39.7080 Y25.1298 Z47.0219
X36.3832 Y28.5763 Z48.2009
X33.4453 Y31.9416 Z49.6065
X30.9952 Y35.0543 Z51.1209
X29.0673 Y37.7647 Z52.6011
X27.6417 Y39.9625 Z53.9079
X26.6628 Y41.5921 Z54.9365
X26.0562 Y42.6611 Z55.6383
X25.7382 Y43.2422 Z56.0285
X25.6188 Y43.4643 Z56.1793
X25.6015 Y43.4966 Z56.2013
