X38.5002 Y48.4932 Z18.3055
X38.5151 Y48.4749 Z18.2811
X38.6180 Y48.3491 Z18.1136
X38.8910 Y48.0204 Z17.6783
X39.4071 Y47.4179 Z16.8884
X40.2289 Y46.5054 Z15.7130
X41.4051 Y45.2876 Z14.1853
X42.9650 Y43.8093 Z12.3979
X44.9087 Y42.1495 Z10.4855
X47.1986 Y40.4100 Z8.5975
X49.7540 Y38.7007 Z6.8688
X52.4546 Y37.1244 Z5.3970
X55.1522 Y35.7620 Z4.2300
X57.6904 Y34.6615 Z3.3677
X59.9266 Y33.8334 Z2.7734
X61.7533 Y33.2551 Z2.3912
X63.1132 Y32.8827 Z2.1623
X64.0071 Y32.6654 Z2.0362
X64.4934 Y32.5564 Z1.9754
X64.6793 Y32.5165 Z1.9536
X64.7064 Y32.5108 Z1.9505
