X31.4956 Y43.7061 Z37.4710
X31.4879 Y43.7299 Z37.5136
X31.4352 Y43.8912 Z37.8088
X31.3030 Y44.2908 Z38.6000
X31.0817 Y44.9387 Z40.1201
X30.8055 Y45.7023 Z42.5686
X30.5719 Y46.2897 Z46.0357
X30.5591 Y46.2974 Z50.3858
X31.0290 Y45.3297 Z55.1952
X32.2755 Y43.1504 Z59.8419
X34.4794 Y39.7983 Z63.7129
X37.5087 Y35.5993 Z66.3828
X40.8473 Y31.0668 Z67.6922
X43.8273 Y26.7425 Z67.7610
X46.0111 Y23.0480 Z66.9439
X47.3532 Y20.2032 Z65.7099
X48.0614 Y18.2294 Z64.4873
X48.3890 Y17.0136 Z63.5535
X48.5219 Y16.3826 Z63.0049
X48.5644 Y16.1474 Z62.7880
X48.5702 Y16.1135 Z62.7562
