X38.6963 Y69.7008 Z21.4057
X38.5952 Y69.5089 Z21.2908
X37.9049 Y68.1918 Z20.5184
X36.1400 Y64.7626 Z18.6380
X33.0360 Y58.4983 Z15.6937
X28.6098 Y49.0085 Z12.4385
X23.1110 Y36.3434 Z10.3090
X16.8656 Y21.4787 Z10.9959
X10.0408 Y7.3067 Z15.4365
X2.5658 Y-1.4702 Z22.7434
X-5.0298 Y-1.6667 Z30.6237
X-10.1513 Y5.8654 Z37.3358
X-10.1736 Y18.0354 Z42.8202
X-5.8267 Y31.8028 Z47.9961
X0.5322 Y45.0366 Z53.5442
X7.0103 Y56.4947 Z59.3919
X12.4592 Y65.5137 Z64.9007
X16.3188 Y71.7891 Z69.2795
X18.5134 Y75.3718 Z71.9992
X19.3706 Y76.7819 Z73.1159
X19.4961 Y76.9892 Z73.2823
