X38.6963 Y69.7008 Z21.4057
X38.6735 Y69.6956 Z21.4382
X38.5163 Y69.6605 Z21.6622
X38.1061 Y69.5724 Z22.2552
X37.3559 Y69.4249 Z23.3710
X36.2242 Y69.2370 Z25.1343
X34.7227 Y69.0566 Z27.6324
X32.9152 Y68.9543 Z30.9034
X30.9071 Y69.0093 Z34.9195
X28.8286 Y69.2900 Z39.5748
X26.8127 Y69.8360 Z44.6826
X24.9748 Y70.6453 Z49.9911
X23.3969 Y71.6705 Z55.2137
X22.1200 Y72.8239 Z60.0660
X21.1464 Y73.9911 Z64.3018
X20.4491 Y75.0528 Z67.7417
X19.9842 Y75.9094 Z70.2949
X19.7029 Y76.5048 Z71.9713
X19.5579 Y76.8399 Z72.8830
X19.5039 Y76.9701 Z73.2316
X19.4961 Y76.9892 Z73.2823
