X44.4495 Y70.3124 Z7.3664
X44.3917 Y70.2200 Z7.3822
X43.9962 Y69.5855 Z7.4934
X42.9767 Y67.9293 Z7.8076
X41.1576 Y64.8987 Z8.4733
X38.5169 Y60.3191 Z9.7055
X35.1907 Y54.2231 Z11.7789
X31.4432 Y46.8591 Z14.9702
X27.6245 Y38.6857 Z19.4580
X24.1329 Y30.3373 Z25.2244
X21.3799 Y22.5257 Z32.0165
X19.7424 Y15.8709 Z39.4004
X19.4876 Y10.7320 Z46.8680
X20.6719 Y7.1423 Z53.9350
X23.0551 Y4.8775 Z60.1966
X26.1001 Y3.5903 Z65.3537
X29.1125 Y2.9334 Z69.2323
X31.4847 Y2.6330 Z71.8075
X32.9177 Y2.5116 Z73.2190
X33.4934 Y2.4728 Z73.7607
X33.5785 Y2.4675 Z73.8396
