X4.5365 Y47.1541 Z75.0146
X4.4351 Y47.0660 Z74.9323
X3.7424 Y46.4605 Z74.3629
X1.9689 Y44.8753 Z72.8452
X-1.1232 Y41.9590 Z69.9424
X-5.3049 Y37.5280 Z65.2165
X-9.5730 Y31.6441 Z58.2094
X-11.8090 Y24.7567 Z48.5272
X-9.0149 Y17.9612 Z36.2643
X0.4543 Y13.2746 Z23.0018
X14.2804 Y13.2979 Z12.3781
X28.4492 Y19.3411 Z7.6693
X40.6925 Y29.6565 Z8.8136
X50.4821 Y40.9869 Z13.5769
X57.9760 Y51.0442 Z19.7330
X63.4794 Y58.9362 Z25.7299
X67.2904 Y64.5634 Z30.6435
X69.6883 Y68.1514 Z34.0570
X70.9630 Y70.0707 Z35.9717
X71.4453 Y70.7989 Z36.7140
X71.5153 Y70.9046 Z36.8225
