X4.5365 Y47.1541 Z75.0146
X4.5801 Y47.1354 Z74.9581
X4.8806 Y47.0084 Z74.5703
X5.6757 Y46.6890 Z73.5582
X7.1701 Y46.1507 Z71.7075
X9.5238 Y45.4530 Z68.9191
X12.8354 Y44.7490 Z65.2334
X17.1203 Y44.2648 Z60.8371
X22.2968 Y44.2572 Z56.0471
X28.1897 Y44.9602 Z51.2626
X34.5550 Y46.5306 Z46.8882
X41.1131 Y49.0042 Z43.2440
X47.5766 Y52.2703 Z40.4989
X53.6658 Y56.0744 Z38.6526
X59.1166 Y60.0498 Z37.5689
X63.6923 Y63.7781 Z37.0382
X67.2121 Y66.8729 Z36.8418
X69.5982 Y69.0763 Z36.8032
X70.9263 Y70.3375 Z36.8120
X71.4402 Y70.8321 Z36.8209
X71.5153 Y70.9046 Z36.8225
