X58.4184 Y74.4867 Z31.4330
X58.3844 Y74.4095 Z31.4427
X58.1523 Y73.8799 Z31.5106
X57.5611 Y72.5015 Z31.7027
X56.5332 Y69.9931 Z32.1099
X55.1097 Y66.2343 Z32.8627
X53.4535 Y61.2820 Z34.1251
X51.8206 Y55.3596 Z36.0624
X50.5138 Y48.8278 Z38.7936
X49.8328 Y42.1387 Z42.3454
X50.0239 Y35.7683 Z46.6294
X51.2268 Y30.1297 Z51.4480
X53.4270 Y25.4921 Z56.5229
X56.4271 Y21.9443 Z61.5345
X59.8602 Y19.4145 Z66.1598
X63.2580 Y17.7301 Z70.1101
X66.1648 Y16.6854 Z73.1715
X68.2656 Y16.0916 Z75.2502
X69.4760 Y15.7986 Z76.4061
X69.9517 Y15.6920 Z76.8530
X70.0215 Y15.6768 Z76.9182
