X66.6553 Y29.6728 Z56.7200
X66.6189 Y29.6792 Z56.6811
X66.3695 Y29.7239 Z56.4139
X65.7225 Y29.8464 Z55.7166
X64.5541 Y30.0927 Z54.4404
X62.8267 Y30.5219 Z52.5100
X60.5981 Y31.2058 Z49.9305
X58.0081 Y32.2206 Z46.7792
X55.2481 Y33.6285 Z43.1883
X52.5221 Y35.4540 Z39.3242
X50.0113 Y37.6642 Z35.3693
X47.8466 Y40.1600 Z31.5068
X46.0962 Y42.7855 Z27.9066
X44.7671 Y45.3534 Z24.7128
X43.8190 Y47.6793 Z22.0319
X43.1838 Y49.6156 Z19.9243
X42.7861 Y51.0748 Z18.3997
X42.5578 Y52.0412 Z17.4171
X42.4442 Y52.5692 Z16.8888
X42.4027 Y52.7713 Z16.6880
X42.3968 Y52.8008 Z16.6589
