X51.8709 Y30.2360 Z37.2358
X51.7730 Y30.1486 Z37.1409
X51.0988 Y29.5512 Z36.4913
X49.3238 Y28.0187 Z34.8131
X46.0139 Y25.3271 Z31.8135
X40.8394 Y21.5950 Z27.4845
X33.5736 Y17.4381 Z22.2078
X24.1475 Y14.0680 Z16.8780
X12.9416 Y13.0716 Z13.0393
X1.4820 Y15.5211 Z12.7707
X-7.1775 Y20.9844 Z17.5749
X-10.2102 Y27.9139 Z26.5780
X-7.4986 Y34.9409 Z37.0334
X-1.0974 Y41.3801 Z46.7650
X6.6652 Y46.9629 Z54.9078
X14.0515 Y51.5440 Z61.2880
X20.0180 Y55.0156 Z65.9420
X24.1232 Y57.3458 Z68.9879
X26.4121 Y58.6345 Z70.6489
X27.2970 Y59.1316 Z71.2856
X27.4261 Y59.2041 Z71.3784
