X58.9756 Y29.8462 Z18.3083
X58.8966 Y29.7057 Z18.2447
X58.3514 Y28.7406 Z17.8089
X56.9109 Y26.2241 Z16.6823
X54.2036 Y21.6454 Z14.6659
X49.9143 Y14.8785 Z11.7491
X43.7582 Y6.4604 Z8.1666
X35.4644 Y-1.9949 Z4.4275
X24.9306 Y-7.5746 Z1.3062
X12.9226 Y-7.2024 Z-0.2432
X2.2624 Y-0.4580 Z0.6257
X-3.0400 Y9.8639 Z4.0843
X-1.8556 Y20.7003 Z9.3386
X3.5053 Y30.4342 Z15.1859
X10.3024 Y38.5205 Z20.6762
X16.7257 Y44.8387 Z25.2577
X21.8372 Y49.4147 Z28.6845
X25.3069 Y52.3778 Z30.9343
X27.2237 Y53.9779 Z32.1554
X27.9611 Y54.5876 Z32.6214
X28.0686 Y54.6763 Z32.6891
