X54.4898 Y44.4135 Z44.4130
X54.4362 Y44.3695 Z44.3284
X54.0653 Y44.0648 Z43.7474
X53.0734 Y43.2486 Z42.2346
X51.1689 Y41.6776 Z39.4886
X48.0659 Y39.1216 Z35.4323
X43.4905 Y35.4062 Z30.3257
X37.2086 Y30.5178 Z24.8953
X29.0920 Y24.7785 Z20.4384
X19.2748 Y19.0235 Z18.7462
X8.4749 Y14.5273 Z21.4388
X-1.6227 Y12.3812 Z28.5572
X-8.6083 Y12.7323 Z37.9994
X-10.9168 Y14.8089 Z47.2021
X-9.1981 Y17.5876 Z54.7433
X-5.4988 Y20.2802 Z60.2995
X-1.6845 Y22.4426 Z64.0578
X1.2066 Y23.9130 Z66.3549
X2.8833 Y24.7247 Z67.5483
X3.5411 Y25.0367 Z67.9941
X3.6375 Y25.0821 Z68.0585
