X48.0080 Y31.0008 Z65.0086
X47.9579 Y30.9656 Z64.9846
X47.6137 Y30.7227 Z64.8176
X46.7148 Y30.0750 Z64.3623
X45.0754 Y28.8402 Z63.4572
X42.6443 Y26.8604 Z61.9159
X39.5930 Y24.0352 Z59.5500
X36.4054 Y20.3866 Z56.2355
X33.8832 Y16.1428 Z52.0149
X32.9336 Y11.8023 Z47.2034
X34.1108 Y8.1074 Z42.4233
X37.2188 Y5.8364 Z38.4549
X41.4198 Y5.4251 Z35.8924
X45.7603 Y6.6854 Z34.8499
X49.5764 Y8.9242 Z34.9810
X52.5638 Y11.3538 Z35.7405
X54.6746 Y13.4136 Z36.6388
X56.0008 Y14.8494 Z37.3660
X56.7004 Y15.6504 Z37.8030
X56.9636 Y15.9595 Z37.9774
X57.0017 Y16.0046 Z38.0030
