X48.0080 Y31.0008 Z65.0086
X48.0094 Y30.9846 Z64.9825
X48.0196 Y30.8732 Z64.8028
X48.0491 Y30.5825 Z64.3329
X48.1139 Y30.0500 Z63.4688
X48.2394 Y29.2445 Z62.1532
X48.4597 Y28.1702 Z60.3825
X48.8126 Y26.8664 Z58.2059
X49.3295 Y25.3997 Z55.7174
X50.0241 Y23.8537 Z53.0425
X50.8845 Y22.3170 Z50.3208
X51.8706 Y20.8710 Z47.6904
X52.9191 Y19.5808 Z45.2725
X53.9535 Y18.4896 Z43.1609
X54.8977 Y17.6171 Z41.4159
X55.6890 Y16.9617 Z40.0633
X56.2886 Y16.5056 Z39.0959
X56.6874 Y16.2201 Z38.4775
X56.9057 Y16.0695 Z38.1467
X56.9895 Y16.0128 Z38.0212
X57.0017 Y16.0046 Z38.0030
