X72.9630 Y71.6385 Z33.5043
X72.9297 Y71.5535 Z33.4938
X72.7027 Y70.9706 Z33.4226
X72.1262 Y69.4528 Z33.2482
X71.1281 Y66.6866 Z32.9717
X69.7510 Y62.5207 Z32.6591
X68.1457 Y56.9663 Z32.4426
X66.5328 Y50.1720 Z32.4960
X65.1534 Y42.3969 Z32.9929
X64.2243 Y33.9974 Z34.0603
X63.9002 Y25.4137 Z35.7414
X64.2430 Y17.1328 Z37.9766
X65.2025 Y9.6158 Z40.6079
X66.6187 Y3.2116 Z43.4053
X68.2531 Y-1.9011 Z46.1082
X69.8443 Y-5.7135 Z48.4748
X71.1733 Y-8.3420 Z50.3279
X72.1123 Y-9.9737 Z51.5886
X72.6446 Y-10.8298 Z52.2887
X72.8520 Y-11.1512 Z52.5590
X72.8824 Y-11.1977 Z52.5985
