X72.9630 Y71.6385 Z33.5043
X72.8489 Y71.5662 Z33.4561
X72.0653 Y71.0688 Z33.1259
X70.0208 Y69.7604 Z32.2748
X66.2841 Y67.3217 Z30.7631
X60.6569 Y63.5019 Z28.6182
X53.2380 Y58.0943 Z26.1072
X44.4982 Y50.9157 Z23.7943
X35.3871 Y41.8366 Z22.5157
X27.4622 Y30.9290 Z23.1276
X22.9002 Y18.7770 Z25.9746
X23.9026 Y6.7815 Z30.5227
X30.9495 Y-3.1318 Z35.7124
X41.5207 Y-9.6177 Z40.6227
X52.0579 Y-12.6933 Z44.7471
X60.5144 Y-13.3668 Z47.9132
X66.4442 Y-12.8471 Z50.1387
X70.1270 Y-12.0555 Z51.5387
X72.0551 Y-11.4807 Z52.2791
X72.7779 Y-11.2347 Z52.5581
X72.8824 Y-11.1977 Z52.5985
