X40.2200 Y53.5929 Z23.9597
X40.2022 Y53.5658 Z23.9719
X40.0795 Y53.3794 Z24.0560
X39.7591 Y52.8923 Z24.2790
X39.1719 Y51.9982 Z24.7006
X38.2831 Y50.6411 Z25.3714
X37.0969 Y48.8240 Z26.3308
X35.6556 Y46.6083 Z27.6012
X34.0325 Y44.1044 Z29.1808
X32.3196 Y41.4548 Z31.0362
X30.6151 Y38.8122 Z33.0996
X29.0096 Y36.3182 Z35.2714
X27.5762 Y34.0858 Z37.4316
X26.3634 Y32.1898 Z39.4556
X25.3934 Y30.6651 Z41.2317
X24.6649 Y29.5120 Z42.6773
X24.1580 Y28.7038 Z43.7504
X23.8408 Y28.1948 Z44.4544
X23.6734 Y27.9250 Z44.8368
X23.6104 Y27.8232 Z44.9829
X23.6013 Y27.8085 Z45.0042
