X40.2200 Y53.5929 Z23.9597
X40.2097 Y53.5667 Z23.9230
X40.1369 Y53.3841 Z23.6716
X39.9325 Y52.8816 Z23.0251
X39.5045 Y51.8650 Z21.8849
X38.7249 Y50.0901 Z20.2953
X37.4421 Y47.2896 Z18.5091
X35.5342 Y43.2810 Z17.0253
X32.9977 Y38.1596 Z16.5286
X30.0282 Y32.4924 Z17.6604
X27.0280 Y27.2976 Z20.6566
X24.4933 Y23.6207 Z25.1052
X22.8041 Y21.9462 Z30.1145
X22.0482 Y22.0139 Z34.7874
X22.0232 Y23.1405 Z38.5770
X22.3962 Y24.6312 Z41.3301
X22.8697 Y25.9968 Z43.1467
X23.2589 Y26.9890 Z44.2256
X23.4938 Y27.5553 Z44.7732
X23.5875 Y27.7762 Z44.9752
X23.6013 Y27.8085 Z45.0042
