X72.8197 Y20.8273 Z75.3012
X72.7646 Y20.8128 Z75.2858
X72.3856 Y20.7138 Z75.1812
X71.3935 Y20.4601 Z74.9153
X69.5651 Y20.0138 Z74.4557
X66.7651 Y19.3851 Z73.8258
X62.9487 Y18.6362 Z73.1061
X58.1493 Y17.8717 Z72.4153
X52.4593 Y17.2154 Z71.8814
X46.0196 Y16.7816 Z71.6119
X39.0194 Y16.6486 Z71.6697
X31.7081 Y16.8405 Z72.0597
X24.4028 Y17.3220 Z72.7279
X17.4770 Y18.0073 Z73.5734
X11.3150 Y18.7800 Z74.4713
X6.2397 Y19.5204 Z75.3006
X2.4414 Y20.1322 Z75.9698
X-0.0618 Y20.5618 Z76.4325
X-1.4250 Y20.8044 Z76.6914
X-1.9462 Y20.8988 Z76.7918
X-2.0220 Y20.9126 Z76.8064
