X72.8197 Y20.8273 Z75.3012
X72.6763 Y20.8084 Z75.1490
X71.7019 Y20.6819 Z74.1099
X69.2419 Y20.3837 Z71.4437
X65.0110 Y19.9611 Z66.7163
X59.1495 Y19.6332 Z59.8901
X52.0731 Y19.7739 Z51.3350
X44.2114 Y20.7234 Z41.8395
X35.7703 Y22.4155 Z32.6599
X26.6717 Y24.1225 Z25.5570
X16.8257 Y24.8281 Z22.6289
X6.6584 Y24.0836 Z25.4858
X-2.5636 Y22.4096 Z33.6738
X-9.1065 Y20.7958 Z44.4129
X-11.8060 Y19.9056 Z54.8064
X-10.9513 Y19.7807 Z63.3448
X-8.1058 Y20.0942 Z69.6023
X-5.0779 Y20.4942 Z73.6597
X-3.0185 Y20.7755 Z75.8504
X-2.1518 Y20.8947 Z76.6851
X-2.0220 Y20.9126 Z76.8064
