X66.7503 Y72.0830 Z73.1255
X66.5946 Y71.9453 Z72.9217
X65.5470 Y71.0183 Z71.5466
X62.9714 Y68.7332 Z68.1330
X58.7334 Y64.9321 Z62.3752
X53.1915 Y59.8069 Z54.4844
X46.9950 Y53.6707 Z45.0306
X40.9027 Y46.7889 Z34.9723
X35.6598 Y39.3369 Z25.8276
X31.9069 Y31.5538 Z19.6461
X30.1557 Y24.1747 Z18.2956
X30.7931 Y18.7183 Z22.2043
X33.9333 Y16.6682 Z29.9475
X39.1638 Y18.1405 Z39.3590
X45.5681 Y21.9309 Z48.7061
X52.0620 Y26.5224 Z56.9396
X57.7052 Y30.7247 Z63.4757
X61.8607 Y33.8393 Z68.0311
X64.3008 Y35.6530 Z70.6252
X65.2720 Y36.3691 Z71.6432
X65.4152 Y36.4744 Z71.7926
