X66.7503 Y72.0830 Z73.1255
X66.7390 Y72.0450 Z73.1132
X66.6617 Y71.7848 Z73.0292
X66.4635 Y71.1076 Z72.8152
X66.1147 Y69.8755 Z72.4431
X65.6212 Y68.0282 Z71.9270
X65.0277 Y65.5877 Z71.3237
X64.4080 Y62.6456 Z70.7176
X63.8486 Y59.3418 Z70.1984
X63.4294 Y55.8419 Z69.8393
X63.2067 Y52.3181 Z69.6821
X63.2021 Y48.9342 Z69.7313
X63.3987 Y45.8323 Z69.9565
X63.7455 Y43.1235 Z70.3015
X64.1694 Y40.8813 Z70.6976
X64.5927 Y39.1390 Z71.0785
X64.9507 Y37.8897 Z71.3928
X65.2054 Y37.0893 Z71.6130
X65.3503 Y36.6606 Z71.7372
X65.4069 Y36.4980 Z71.7855
X65.4152 Y36.4744 Z71.7926
