X14.5560 Y29.3284 Z1.8546
X14.5605 Y29.3012 Z1.8566
X14.5949 Y29.1156 Z1.8746
X14.7161 Y28.6408 Z1.9560
X15.0576 Y27.8151 Z2.2350
X15.8758 Y26.7013 Z2.9776
X17.5410 Y25.5530 Z4.5553
X20.4240 Y24.8540 Z7.3072
X24.6902 Y25.2413 Z11.3448
X30.1232 Y27.2383 Z16.4418
X36.1360 Y30.9188 Z22.0901
X41.9690 Y35.7890 Z27.6537
X46.9321 Y40.9990 Z32.5291
X50.5908 Y45.7106 Z36.2940
X52.8652 Y49.3955 Z38.8154
X54.0011 Y51.9296 Z40.2539
X54.4091 Y53.4855 Z40.9396
X54.4734 Y54.3426 Z41.2076
X54.4412 Y54.7521 Z41.2924
X54.4166 Y54.8980 Z41.3135
X54.4124 Y54.9188 Z41.3160
