X14.5560 Y29.3284 Z1.8546
X14.5879 Y29.3426 Z1.8903
X14.8073 Y29.4409 Z2.1356
X15.3824 Y29.7012 Z2.7759
X16.4447 Y30.1920 Z3.9485
X18.0751 Y30.9703 Z5.7241
X20.2972 Y32.0785 Z8.1016
X23.0776 Y33.5406 Z11.0166
X26.3341 Y35.3560 Z14.3589
X29.9468 Y37.4943 Z17.9917
X33.7697 Y39.8922 Z21.7655
X37.6413 Y42.4544 Z25.5269
X41.3937 Y45.0587 Z29.1244
X44.8618 Y47.5653 Z32.4131
X47.8949 Y49.8317 Z35.2639
X50.3730 Y51.7320 Z37.5767
X52.2257 Y53.1803 Z39.2964
X53.4500 Y54.1498 Z40.4285
X54.1189 Y54.6836 Z41.0455
X54.3751 Y54.8888 Z41.2816
X54.4124 Y54.9188 Z41.3160
