X53.0794 Y48.0808 Z-1.3908
X53.0400 Y48.0260 Z-1.4667
X52.7650 Y47.6446 Z-1.9872
X52.0126 Y46.6025 Z-3.3368
X50.5039 Y44.5195 Z-5.7637
X47.8888 Y40.9321 Z-9.2799
X43.7456 Y35.3365 Z-13.5225
X37.6438 Y27.4285 Z-17.5480
X29.2991 Y17.6958 Z-19.5598
X18.8847 Y8.2086 Z-16.9032
X7.5769 Y2.1786 Z-7.6667
X-2.0144 Y1.1951 Z6.1762
X-6.9416 Y3.9796 Z19.9801
X-6.5938 Y8.3862 Z30.9190
X-3.0112 Y12.8923 Z38.5824
X1.4139 Y16.7169 Z43.5549
X5.2307 Y19.5646 Z46.5762
X7.8820 Y21.4180 Z48.2708
X9.3531 Y22.4170 Z49.1006
X9.9190 Y22.7968 Z49.4011
X10.0015 Y22.8520 Z49.4441
