X53.0794 Y48.0808 Z-1.3908
X53.0344 Y48.0277 Z-1.3700
X52.7248 Y47.6643 Z-1.2260
X51.9167 Y46.7236 Z-0.8381
X50.4375 Y45.0331 Z-0.0831
X48.2005 Y42.5591 Z1.1735
X45.2146 Y39.4266 Z3.0760
X41.5777 Y35.9017 Z5.7598
X37.4586 Y32.3337 Z9.3115
X33.0725 Y29.0729 Z13.7182
X28.6569 Y26.3900 Z18.8307
X24.4452 Y24.4247 Z24.3641
X20.6417 Y23.1774 Z29.9472
X17.3970 Y22.5388 Z35.1978
X14.7922 Y22.3385 Z39.7928
X12.8366 Y22.3946 Z43.5122
X11.4809 Y22.5520 Z46.2570
X10.6363 Y22.7055 Z48.0492
X10.1924 Y22.8050 Z49.0200
X10.0256 Y22.8459 Z49.3903
X10.0015 Y22.8520 Z49.4441
