X79.1451 Y81.5413 Z-6.5940
X79.0275 Y81.3921 Z-6.5864
X78.2268 Y80.3722 Z-6.5303
X76.1890 Y77.7500 Z-6.3549
X72.6258 Y73.0979 Z-5.9214
X67.5575 Y66.4242 Z-4.9733
X61.2328 Y58.2129 Z-3.1129
X54.0166 Y49.3540 Z0.1627
X46.3221 Y40.9534 Z5.3352
X38.5891 Y34.0339 Z12.6421
X31.2783 Y29.2395 Z21.8544
X24.8451 Y26.7041 Z32.2520
X19.6742 Y26.1360 Z42.8750
X15.9825 Y27.0049 Z52.8473
X13.7413 Y28.7112 Z61.5431
X12.6791 Y30.6951 Z68.5894
X12.3795 Y32.5056 Z73.8225
X12.4301 Y33.8531 Z77.2689
X12.5455 Y34.6401 Z79.1496
X12.6066 Y34.9513 Z79.8700
X12.6163 Y34.9971 Z79.9749
