X42.3992 Y34.0022 Z31.7938
X42.4102 Y33.9949 Z31.8060
X42.4875 Y33.9478 Z31.8923
X42.7015 Y33.8511 Z32.1394
X43.1382 Y33.7771 Z32.6731
X43.9078 Y33.9326 Z33.6793
X45.1356 Y34.6739 Z35.3876
X46.9309 Y36.4390 Z38.0068
X49.3436 Y39.5829 Z41.6314
X52.3228 Y44.1803 Z46.1635
X55.6805 Y49.9155 Z51.2852
X59.0757 Y56.1345 Z56.4847
X62.0591 Y62.0249 Z61.1449
X64.2181 Y66.8563 Z64.7117
X65.3810 Y70.2237 Z66.9168
X65.7102 Y72.1767 Z67.9075
X65.5699 Y73.1042 Z68.1221
X65.3014 Y73.4603 Z68.0155
X65.0992 Y73.5702 Z67.8764
X65.0118 Y73.5968 Z67.8085
X64.9987 Y73.5999 Z67.7979
