X42.3992 Y34.0022 Z31.7938
X42.4105 Y34.0311 Z31.8164
X42.4886 Y34.2295 Z31.9719
X42.6956 Y34.7504 Z32.3817
X43.0863 Y35.7144 Z33.1463
X43.7072 Y37.1988 Z34.3389
X44.5950 Y39.2319 Z36.0015
X45.7743 Y41.7941 Z38.1427
X47.2539 Y44.8238 Z40.7373
X49.0218 Y48.2269 Z43.7272
X51.0411 Y51.8854 Z47.0227
X53.2474 Y55.6645 Z50.5057
X55.5487 Y59.4163 Z54.0329
X57.8278 Y62.9834 Z57.4408
X59.9516 Y66.2044 Z60.5556
X61.7865 Y68.9260 Z63.2094
X63.2231 Y71.0274 Z65.2687
X64.2059 Y72.4539 Z66.6704
X64.7549 Y73.2479 Z67.4514
X64.9676 Y73.5551 Z67.7538
X64.9987 Y73.5999 Z67.7979
