X41.7499 Y71.5252 Z1.7798
X41.7005 Y71.4818 Z1.8185
X41.3614 Y71.1842 Z2.0863
X40.4792 Y70.4137 Z2.8030
X38.8759 Y69.0275 Z4.1814
X36.4794 Y66.9956 Z6.4308
X33.3353 Y64.4175 Z9.7442
X29.5953 Y61.5105 Z14.2551
X25.4899 Y58.5678 Z19.9702
X21.2929 Y55.8959 Z26.7126
X17.2831 Y53.7469 Z34.1212
X13.7043 Y52.2680 Z41.7233
X10.7295 Y51.4801 Z49.0401
X8.4357 Y51.2902 Z55.6690
X6.8016 Y51.5259 Z61.3197
X5.7289 Y51.9831 Z65.8195
X5.0820 Y52.4739 Z69.1110
X4.7271 Y52.8662 Z71.2512
X4.5574 Y53.1028 Z72.4087
X4.4970 Y53.1976 Z72.8500
X4.4884 Y53.2116 Z72.9141
