X69.6334 Y22.2229 Z73.6473
X69.5877 Y22.2385 Z73.6141
X69.2741 Y22.3467 Z73.3863
X68.4619 Y22.6354 Z72.7954
X66.9986 Y23.1869 Z71.7271
X64.8449 Y24.0790 Z70.1436
X62.0855 Y25.3822 Z68.0883
X58.9106 Y27.1503 Z65.6733
X55.5729 Y29.4048 Z63.0536
X52.3340 Y32.1181 Z60.3998
X49.4149 Y35.2022 Z57.8726
X46.9622 Y38.5105 Z55.6038
X45.0371 Y41.8537 Z53.6821
X43.6237 Y45.0266 Z52.1476
X42.6525 Y47.8400 Z50.9945
X42.0276 Y50.1488 Z50.1818
X41.6521 Y51.8731 Z49.6491
X41.4443 Y53.0092 Z49.3317
X41.3438 Y53.6280 Z49.1699
X41.3077 Y53.8647 Z49.1100
X41.3025 Y53.8991 Z49.1014
