X69.6334 Y22.2229 Z73.6473
X69.4930 Y22.0850 Z73.5204
X68.5360 Y21.1411 Z72.6553
X66.0934 Y18.7047 Z70.4454
X61.7909 Y14.3479 Z66.5465
X55.5772 Y8.0248 Z60.9017
X47.6310 Y0.1707 Z53.6446
X38.3030 Y-8.1528 Z44.9942
X28.2620 Y-14.9879 Z35.2770
X18.9052 Y-17.2873 Z25.2253
X12.4540 Y-12.1749 Z16.5489
X10.5912 Y-0.6033 Z11.9022
X12.9863 Y12.8126 Z12.9897
X18.0345 Y24.8039 Z18.7877
X24.1251 Y34.5199 Z26.7193
X30.0406 Y42.0228 Z34.5582
X34.9590 Y47.4839 Z40.9926
X38.4372 Y51.0701 Z45.4671
X40.4160 Y53.0342 Z47.9819
X41.1892 Y53.7891 Z48.9586
X41.3025 Y53.8991 Z49.1014
