X69.1625 Y21.6980 Z72.8801
X69.0711 Y21.6038 Z72.7934
X68.4433 Y20.9585 Z72.1980
X66.8083 Y19.2912 Z70.6472
X63.8244 Y16.3118 Z67.8159
X59.3176 Y12.0244 Z63.5330
X53.2974 Y6.8470 Z57.7806
X46.0063 Y1.7321 Z50.6997
X38.0629 Y-1.7637 Z42.6710
X30.6337 Y-1.7206 Z34.5085
X25.2543 Y3.0996 Z27.6306
X23.0092 Y11.8311 Z23.7450
X23.8255 Y21.9283 Z23.8076
X26.7453 Y31.2400 Z27.2429
X30.6167 Y38.8473 Z32.4473
X34.4903 Y44.6030 Z37.8195
X37.7269 Y48.6443 Z42.3022
X40.0042 Y51.2020 Z45.4244
X41.2908 Y52.5640 Z47.1725
X41.7914 Y53.0795 Z47.8492
X41.8646 Y53.1543 Z47.9480
