X44.4020 Y55.6006 Z33.5016
X44.4069 Y55.5602 Z33.5132
X44.4414 Y55.2821 Z33.5931
X44.5382 Y54.5543 Z33.8084
X44.7418 Y53.2157 Z34.2269
X45.1177 Y51.1774 Z34.9208
X45.7555 Y48.4364 Z35.9643
X46.7607 Y45.0781 Z37.4219
X48.2355 Y41.2683 Z39.3321
X50.2492 Y37.2321 Z41.6899
X52.8095 Y33.2217 Z44.4368
X55.8397 Y29.4768 Z47.4602
X59.1753 Y26.1863 Z50.6022
X62.5813 Y23.4635 Z53.6765
X65.7910 Y21.3421 Z56.4903
X68.5565 Y19.7906 Z58.8717
X70.6995 Y18.7367 Z60.6992
X72.1478 Y18.0893 Z61.9287
X72.9490 Y17.7520 Z62.6077
X73.2578 Y17.6258 Z62.8693
X73.3029 Y17.6075 Z62.9074
