X21.2597 Y62.7945 Z1.2546
X21.2720 Y62.7904 Z1.2360
X21.3539 Y62.7552 Z1.1122
X21.5507 Y62.6080 Z0.8200
X21.8450 Y62.1263 Z0.4090
X22.1259 Y60.8567 Z0.1237
X22.2117 Y58.1155 Z0.4666
X21.9816 Y53.1641 Z2.1845
X21.5950 Y45.6030 Z6.0689
X21.6120 Y35.8929 Z12.5002
X22.7654 Y25.6441 Z20.9981
X25.3878 Y17.0085 Z30.2857
X28.9646 Y11.2845 Z38.8871
X32.3880 Y8.3115 Z45.7329
X34.7470 Y7.1716 Z50.4366
X35.8419 Y6.9845 Z53.2279
X36.0477 Y7.1725 Z54.6613
X35.8777 Y7.4213 Z55.3023
X35.6824 Y7.5940 Z55.5517
X35.5888 Y7.6667 Z55.6288
X35.5743 Y7.6775 Z55.6391
