X36.6066 Y74.6106 Z5.4819
X36.5069 Y74.5577 Z5.4086
X35.8191 Y74.1890 Z4.9085
X33.9980 Y73.1818 Z3.6277
X30.5718 Y71.1662 Z1.4012
X25.1811 Y67.6771 Z-1.5506
X17.6691 Y62.1421 Z-4.2681
X8.2754 Y53.9639 Z-4.5791
X-2.0008 Y42.8106 Z0.5275
X-10.7987 Y29.3171 Z11.7363
X-13.8078 Y15.9637 Z25.4950
X-6.3887 Y6.3048 Z38.2282
X10.2866 Y2.0208 Z48.6159
X28.8209 Y2.0605 Z56.5386
X43.8774 Y4.4616 Z62.2340
X54.3615 Y7.6156 Z66.0596
X61.0146 Y10.5036 Z68.4323
X64.8680 Y12.6126 Z69.7675
X66.7977 Y13.8230 Z70.4174
X67.5052 Y14.2967 Z70.6514
X67.6067 Y14.3661 Z70.6848
