X61.5125 Y30.7164 Z44.4467
X61.4972 Y30.7041 Z44.4383
X61.3898 Y30.6233 Z44.3800
X61.0935 Y30.4437 Z44.2228
X60.4923 Y30.2377 Z43.9172
X59.4431 Y30.2470 Z43.4165
X57.8096 Y30.9083 Z42.7012
X55.5645 Y32.7834 Z41.8402
X52.9377 Y36.3566 Z41.0668
X50.4760 Y41.7499 Z40.7888
X48.8520 Y48.5378 Z41.4322
X48.4803 Y55.8486 Z43.1574
X49.2750 Y62.7012 Z45.6784
X50.7623 Y68.3383 Z48.3869
X52.3947 Y72.4100 Z50.6991
X53.7939 Y74.9848 Z52.3301
X54.8087 Y76.4112 Z53.3106
X55.4447 Y77.1071 Z53.8251
X55.7771 Y77.4031 Z54.0585
X55.9012 Y77.5008 Z54.1389
X55.9192 Y77.5143 Z54.1501
