X51.8709 Y30.2360 Z37.2358
X51.8424 Y30.2515 Z37.2502
X51.6467 Y30.3588 Z37.3501
X51.1350 Y30.6437 Z37.6171
X50.1964 Y31.1832 Z38.1298
X48.7739 Y32.0442 Z38.9659
X46.8749 Y33.2798 Z40.2018
X44.5724 Y34.9226 Z41.9047
X41.9968 Y36.9758 Z44.1185
X39.3159 Y39.4055 Z46.8445
X36.7080 Y42.1370 Z50.0250
X34.3319 Y45.0574 Z53.5356
X32.3015 Y48.0232 Z57.1911
X30.6732 Y50.8731 Z60.7663
X29.4469 Y53.4452 Z64.0280
X28.5813 Y55.5986 Z66.7737
X28.0127 Y57.2379 Z68.8676
X27.6732 Y58.3346 Z70.2685
X27.4997 Y58.9382 Z71.0391
X27.4354 Y59.1703 Z71.3352
X27.4261 Y59.2041 Z71.3784
