X58.9756 Y29.8462 Z18.3083
X58.9436 Y29.8601 Z18.3067
X58.7232 Y29.9561 Z18.2962
X58.1465 Y30.2116 Z18.2727
X57.0857 Y30.6966 Z18.2457
X55.4704 Y31.4731 Z18.2463
X53.2978 Y32.5905 Z18.3316
X50.6351 Y34.0774 Z18.5800
X47.6106 Y35.9311 Z19.0782
X44.3970 Y38.1104 Z19.9004
X41.1857 Y40.5338 Z21.0846
X38.1584 Y43.0860 Z22.6130
X35.4615 Y45.6299 Z24.4034
X33.1895 Y48.0229 Z26.3156
X31.3818 Y50.1348 Z28.1765
X30.0306 Y51.8648 Z29.8160
X29.0940 Y53.1568 Z31.1051
X28.5093 Y54.0085 Z31.9841
X28.2012 Y54.4728 Z32.4728
X28.0853 Y54.6504 Z32.6616
X28.0686 Y54.6763 Z32.6891
