X73.8988 Y55.7062 Z27.4972
X73.8403 Y55.6840 Z27.4983
X73.4382 Y55.5349 Z27.5075
X72.3912 Y55.1679 Z27.5443
X70.4838 Y54.5787 Z27.6598
X67.6212 Y53.8819 Z27.9589
X63.8417 Y53.2985 Z28.6092
X59.3066 Y53.0949 Z29.8280
X54.2748 Y53.5061 Z31.8458
X49.0680 Y54.6755 Z34.8510
X44.0273 Y56.6274 Z38.9247
X39.4623 Y59.2706 Z43.9862
X35.5994 Y62.4201 Z49.7724
X32.5484 Y65.8256 Z55.8642
X30.3005 Y69.2006 Z61.7580
X28.7570 Y72.2536 Z66.9592
X27.7737 Y74.7308 Z71.0781
X27.2029 Y76.4715 Z73.9128
X26.9174 Y77.4614 Z75.5012
X26.8128 Y77.8484 Z76.1175
X26.7978 Y77.9051 Z76.2076
