X71.7979 Y95.7699 Z1.2087
X71.7243 Y95.6953 Z1.1216
X71.2144 Y95.1758 Z0.5281
X69.8455 Y93.7598 Z-0.9836
X67.2072 Y90.9380 Z-3.5932
X62.9277 Y86.0884 Z-7.0687
X56.7772 Y78.4916 Z-10.5401
X48.8528 Y67.5440 Z-12.2249
X39.8292 Y53.4257 Z-9.3425
X31.2238 Y38.3873 Z0.6869
X25.4011 Y27.0188 Z17.0913
X24.6387 Y22.6705 Z35.4432
X29.3145 Y24.5219 Z52.0067
X37.4258 Y29.7560 Z65.4510
X46.2665 Y35.9621 Z75.7337
X53.9421 Y41.6562 Z83.2134
X59.6389 Y46.1022 Z88.3338
X63.2941 Y49.0799 Z91.5307
X65.2364 Y50.7106 Z93.2257
X65.9685 Y51.3352 Z93.8672
X66.0745 Y51.4261 Z93.9602
