X20.1767 Y64.2988 Z71.1211
X20.1762 Y64.2585 Z71.0932
X20.1729 Y63.9815 Z70.9017
X20.1686 Y63.2580 Z70.4076
X20.1773 Y61.9324 Z69.5242
X20.2332 Y59.9232 Z68.2402
X20.3940 Y57.2311 Z66.6249
X20.7363 Y53.9321 Z64.8115
X21.3419 Y50.1605 Z62.9647
X22.2766 Y46.0903 Z61.2442
X23.5674 Y41.9157 Z59.7745
X25.1842 Y37.8343 Z58.6265
X27.0333 Y34.0304 Z57.8145
X28.9682 Y30.6595 Z57.3040
X30.8176 Y27.8348 Z57.0293
X32.4217 Y25.6185 Z56.9130
X33.6671 Y24.0180 Z56.8843
X34.5086 Y22.9878 Z56.8906
X34.9736 Y22.4345 Z56.9022
X35.1527 Y22.2243 Z56.9081
X35.1789 Y22.1938 Z56.9091
