X65.3856 Y67.2541 Z30.4147
X65.3593 Y67.2140 Z30.4216
X65.1782 Y66.9388 Z30.4697
X64.7073 Y66.2218 Z30.5993
X63.8519 Y64.9145 Z30.8517
X62.5744 Y62.9514 Z31.2714
X60.8994 Y60.3599 Z31.9057
X58.9054 Y57.2528 Z32.7976
X56.7078 Y53.8066 Z33.9751
X54.4377 Y50.2299 Z35.4377
X52.2232 Y46.7313 Z37.1472
X50.1747 Y43.4914 Z39.0250
X48.3744 Y40.6429 Z40.9605
X46.8721 Y38.2637 Z42.8271
X45.6845 Y36.3788 Z44.5027
X44.8010 Y34.9712 Z45.8902
X44.1909 Y33.9946 Z46.9329
X43.8112 Y33.3839 Z47.6226
X43.6115 Y33.0617 Z47.9991
X43.5365 Y32.9404 Z48.1432
X43.5256 Y32.9228 Z48.1642
