X65.3856 Y67.2541 Z30.4147
X65.3108 Y67.1952 Z30.3257
X64.7963 Y66.7895 Z29.7154
X63.4506 Y65.7246 Z28.1303
X60.9782 Y63.7521 Z25.2661
X57.2177 Y60.7088 Z21.0639
X52.1675 Y56.5265 Z15.8187
X46.0083 Y51.2399 Z10.2935
X39.1503 Y45.0306 Z5.7857
X32.3227 Y38.3477 Z3.9581
X26.6319 Y32.0444 Z6.1068
X23.3417 Y27.2451 Z12.0403
X23.2206 Y24.7613 Z19.9852
X25.9402 Y24.5784 Z27.9664
X30.2691 Y25.9865 Z34.8238
X34.8359 Y28.0757 Z40.1504
X38.6794 Y30.1030 Z43.9323
X41.3608 Y31.6300 Z46.3327
X42.8609 Y32.5204 Z47.6107
X43.4409 Y32.8713 Z48.0941
X43.5256 Y32.9228 Z48.1642
