X23.1006 Y61.1957 Z76.3460
X23.1031 Y61.1229 Z76.2656
X23.1227 Y60.6245 Z75.7156
X23.1899 Y59.3364 Z74.2968
X23.3749 Y57.0222 Z71.7606
X23.8112 Y53.6111 Z68.0666
X24.6999 Y49.1858 Z63.3865
X26.2813 Y43.9339 Z58.0589
X28.7740 Y38.0972 Z52.5185
X32.2945 Y31.9392 Z47.2173
X36.7864 Y25.7290 Z42.5472
X41.9965 Y19.7324 Z38.7748
X47.5215 Y14.2007 Z36.0045
X52.9046 Y9.3507 Z34.1822
X57.7352 Y5.3386 Z33.1356
X61.7154 Y2.2384 Z32.6359
X64.6892 Y0.0356 Z32.4588
X66.6468 Y-1.3621 Z32.4294
X67.7124 Y-2.1053 Z32.4417
X68.1197 Y-2.3861 Z32.4516
X68.1790 Y-2.4268 Z32.4533
